timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714890374404,4,PYTHON,201,Created,ALUMNO_POST 1-6,text,true,,482,1165,17,17,http://localhost:8000/api/alumnos/create/,4,0,0
1714890374409,24,PYTHON,201,Created,ALUMNO_POST 1-18,text,true,,482,1172,18,18,http://localhost:8000/api/alumnos/create/,24,0,0
1714890374459,6,PYTHON,201,Created,ALUMNO_POST 1-19,text,true,,482,1165,19,19,http://localhost:8000/api/alumnos/create/,6,0,0
1714890374214,275,PHP,200,OK,ALUMNO_POST 1-14,text,true,,19338,469,19,19,http://localhost:8001,107,0,0
1714890374214,108,PHP-0,302,Found,ALUMNO_POST 1-14,text,true,,650,321,19,19,http://localhost:8001/api/alumnos/,107,0,0
1714890374322,167,PHP-1,200,OK,ALUMNO_POST 1-14,text,true,,18688,148,19,19,http://localhost:8001,167,0,0
1714890374490,4,PYTHON,201,Created,ALUMNO_POST 1-14,text,true,,482,1186,19,19,http://localhost:8000/api/alumnos/create/,4,0,0
1714890374220,276,PHP,200,OK,ALUMNO_POST 1-8,text,true,,19338,469,19,19,http://localhost:8001,110,0,0
1714890374220,110,PHP-0,302,Found,ALUMNO_POST 1-8,text,true,,650,321,19,19,http://localhost:8001/api/alumnos/,110,0,0
1714890374330,166,PHP-1,200,OK,ALUMNO_POST 1-8,text,true,,18688,148,19,19,http://localhost:8001,166,0,1
1714890374496,5,PYTHON,201,Created,ALUMNO_POST 1-8,text,true,,482,1151,19,19,http://localhost:8000/api/alumnos/create/,5,0,0
1714890374235,276,PHP,200,OK,ALUMNO_POST 1-1,text,true,,19338,469,20,20,http://localhost:8001,111,0,0
1714890374235,111,PHP-0,302,Found,ALUMNO_POST 1-1,text,true,,650,321,20,20,http://localhost:8001/api/alumnos/,111,0,0
1714890374346,165,PHP-1,200,OK,ALUMNO_POST 1-1,text,true,,18688,148,20,20,http://localhost:8001,165,0,1
1714890374509,4,PYTHON,201,Created,ALUMNO_POST 1-20,text,true,,482,1172,19,19,http://localhost:8000/api/alumnos/create/,4,0,0
1714890374241,277,PHP,200,OK,ALUMNO_POST 1-2,text,true,,19338,469,19,19,http://localhost:8001,114,0,1
1714890374241,115,PHP-0,302,Found,ALUMNO_POST 1-2,text,true,,650,321,19,19,http://localhost:8001/api/alumnos/,114,0,1
1714890374356,162,PHP-1,200,OK,ALUMNO_POST 1-2,text,true,,18688,148,19,19,http://localhost:8001,161,0,0
1714890374250,284,PHP,200,OK,ALUMNO_POST 1-11,text,true,,19338,469,18,18,http://localhost:8001,114,0,0
1714890374250,114,PHP-0,302,Found,ALUMNO_POST 1-11,text,true,,650,321,18,18,http://localhost:8001/api/alumnos/,114,0,0
1714890374364,170,PHP-1,200,OK,ALUMNO_POST 1-11,text,true,,18688,148,18,18,http://localhost:8001,170,0,0
1714890374534,4,PYTHON,201,Created,ALUMNO_POST 1-11,text,true,,482,1144,18,18,http://localhost:8000/api/alumnos/create/,4,0,0
1714890374259,281,PHP,200,OK,ALUMNO_POST 1-3,text,true,,19338,469,18,18,http://localhost:8001,113,0,0
1714890374259,113,PHP-0,302,Found,ALUMNO_POST 1-3,text,true,,650,321,18,18,http://localhost:8001/api/alumnos/,113,0,0
1714890374372,168,PHP-1,200,OK,ALUMNO_POST 1-3,text,true,,18688,148,18,18,http://localhost:8001,168,0,0
1714890374264,294,PHP,200,OK,ALUMNO_POST 1-15,text,true,,19338,469,17,17,http://localhost:8001,121,0,0
1714890374264,121,PHP-0,302,Found,ALUMNO_POST 1-15,text,true,,650,321,17,17,http://localhost:8001/api/alumnos/,121,0,0
1714890374385,173,PHP-1,200,OK,ALUMNO_POST 1-15,text,true,,18688,148,17,17,http://localhost:8001,173,0,0
1714890374559,8,PYTHON,201,Created,ALUMNO_POST 1-21,text,true,,482,1179,18,18,http://localhost:8000/api/alumnos/create/,8,0,1
1714890374559,8,PYTHON,201,Created,ALUMNO_POST 1-15,text,true,,482,1165,18,18,http://localhost:8000/api/alumnos/create/,8,0,0
1714890374275,293,PHP,200,OK,ALUMNO_POST 1-4,text,true,,19338,469,18,18,http://localhost:8001,118,0,1
1714890374275,118,PHP-0,302,Found,ALUMNO_POST 1-4,text,true,,650,321,18,18,http://localhost:8001/api/alumnos/,118,0,1
1714890374393,175,PHP-1,200,OK,ALUMNO_POST 1-4,text,true,,18688,148,18,18,http://localhost:8001,175,0,0
1714890374302,297,PHP,200,OK,ALUMNO_POST 1-7,text,true,,19338,469,17,17,http://localhost:8001,132,0,0
1714890374302,132,PHP-0,302,Found,ALUMNO_POST 1-7,text,true,,650,321,17,17,http://localhost:8001/api/alumnos/,132,0,0
1714890374434,165,PHP-1,200,OK,ALUMNO_POST 1-7,text,true,,18688,148,17,17,http://localhost:8001,165,0,1
1714890374599,4,PYTHON,201,Created,ALUMNO_POST 1-7,text,true,,482,1165,17,17,http://localhost:8000/api/alumnos/create/,4,0,0
